title,price,rate,category
Sharp Objects,47.82$,Four,Mystery
"In a Dark, Dark Wood",19.63$,3,Mystery
The Past Never Ends,56.5$,Four,Mystery
A Murder in Time,16.64$,3,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1$,Four,Mystery
That Darkness (Gardiner and Renner #1),13.92$,3,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69$,3,Mystery
A Time of Torment (Charlie Parker #14),48.35$,5,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73$,3,Mystery
Poisonous (Max Revere Novels #3),26.8$,3,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36$,Four,Mystery
Most Wanted,35.28$,3,Mystery
Hide Away (Eve Duncan #20),11.84$,3,Mystery
Boar Island (Anna Pigeon #19),59.48$,3,Mystery
The Widow,27.26$,2,Mystery
Playing with Fire,13.71$,3,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37$,5,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3$,5,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89$,Four,Mystery
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69$,3,HistoricalFiction
A Flight of Arrows (The Pathfinders #2),55.53$,5,HistoricalFiction
The House by the Lake,36.95$,1,HistoricalFiction
Mrs. Houdini,30.25$,5,HistoricalFiction
The Marriage of Opposites,28.08$,Four,HistoricalFiction
Glory over Everything: Beyond The Kitchen House,45.84$,3,HistoricalFiction
"Love, Lies and Spies",20.55$,2,HistoricalFiction
A Paris Apartment,39.01$,Four,HistoricalFiction
Lilac Girls,17.28$,3,HistoricalFiction
The Constant Princess (The Tudor Court #1),16.62$,3,HistoricalFiction
The Invention of Wings,37.34$,1,HistoricalFiction
World Without End (The Pillars of the Earth #2),32.97$,Four,HistoricalFiction
The Passion of Dolssa,28.32$,5,HistoricalFiction
Girl With a Pearl Earring,26.77$,1,HistoricalFiction
Voyager (Outlander #3),21.07$,5,HistoricalFiction
The Red Tent,35.66$,5,HistoricalFiction
The Guernsey Literary and Potato Peel Pie Society,49.53$,1,HistoricalFiction
Girl in the Blue Coat,46.83$,2,HistoricalFiction
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29$,5,SequentialArt
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28$,3,SequentialArt
This One Summer,19.49$,3,SequentialArt
The Nameless City (The Nameless City #1),38.16$,Four,SequentialArt
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4$,3,SequentialArt
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61$,3,SequentialArt
"Pop Gun War, Volume 1: Gift",18.97$,3,SequentialArt
Patience,10.16$,3,SequentialArt
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44$,3,SequentialArt
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41$,1,SequentialArt
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91$,2,SequentialArt
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61$,3,SequentialArt
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92$,3,SequentialArt
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17$,2,SequentialArt
I am a Hero Omnibus Volume 1,54.63$,3,SequentialArt
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11$,2,SequentialArt
Danganronpa Volume 1,51.99$,Four,SequentialArt
"Codename Baboushka, Volume 1: The Conclave of Death",36.72$,Four,SequentialArt
Camp Midnight,17.08$,3,SequentialArt
The Secret Garden,15.08$,3,Classics
The Metamorphosis,28.58$,1,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),14.82$,3,Classics
Little Women (Little Women #1),28.07$,Four,Classics
Gone with the Wind,32.49$,3,Classics
Candide,58.63$,3,Classics
Animal Farm,57.22$,3,Classics
Wuthering Heights,17.73$,3,Classics
The Picture of Dorian Gray,29.7$,2,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78$,Four,Classics
Beowulf,38.35$,2,Classics
And Then There Were None,35.01$,2,Classics
The Story of Hong Gildong,43.19$,Four,Classics
The Little Prince,45.42$,2,Classics
Sense and Sensibility,37.46$,1,Classics
Of Mice and Men,47.11$,2,Classics
Emma,32.93$,2,Classics
Sophie's World,15.94$,3,Philosophy
The Death of Humanity: and the Case for Life,58.11$,Four,Philosophy
The Stranger,17.44$,3,Philosophy
Kierkegaard: A Christian Missionary to Christians,47.13$,1,Philosophy
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93$,5,Philosophy
Critique of Pure Reason,20.75$,1,Philosophy
"Run, Spot, Run: The Ethics of Keeping Pets",20.02$,1,Philosophy
The Nicomachean Ethics,36.34$,1,Philosophy
Meditations,25.89$,2,Philosophy
Beyond Good and Evil,43.38$,1,Philosophy
Chase Me (Paris Nights #2),25.27$,5,Romance
Black Dust,34.53$,5,Romance
Her Backup Boyfriend (The Sorensen Family #1),33.97$,1,Romance
First and First (Five Boroughs #3),15.97$,3,Romance
Fifty Shades Darker (Fifty Shades #2),21.96$,1,Romance
The Wedding Dress,24.12$,1,Romance
Something More Than This,16.24$,3,Romance
Doing It Over (Most Likely To #1),35.61$,3,Romance
The Wedding Pact (The O'Malleys #2),32.61$,3,Romance
Hold Your Breath (Search and Rescue #1),28.82$,1,Romance
Dirty (Dive Bar #1),40.83$,Four,Romance
Take Me Home Tonight (Rock Star Romance #3),53.98$,3,Romance
Off the Hook (Fishing for Trouble #1),47.67$,3,Romance
A Gentleman's Position (Society of Gentlemen #3),14.75$,3,Romance
"Sit, Stay, Love",20.9$,3,Romance
A Girl's Guide to Moving On (New Beginnings #2),31.3$,1,Romance
The Perfect Play (Play by Play #1),59.99$,3,Romance
Dark Lover (Black Dagger Brotherhood #1),12.87$,3,Romance
Changing the Game (Play by Play #2),13.38$,3,Romance
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36$,Four,WomensFiction
Will You Won't You Want Me?,13.86$,3,WomensFiction
Keep Me Posted,20.46$,Four,WomensFiction
Grey (Fifty Shades #4),48.49$,Four,WomensFiction
Meternity,43.58$,3,WomensFiction
Some Women,13.73$,3,WomensFiction
Shopaholic Ties the Knot (Shopaholic #3),48.39$,5,WomensFiction
Can You Keep a Secret?,21.94$,1,WomensFiction
Twenties Girl,42.8$,2,WomensFiction
The Undomestic Goddess,45.75$,Four,WomensFiction
The Nanny Diaries (Nanny #1),52.53$,5,WomensFiction
The Devil Wears Prada (The Devil Wears Prada #1),44.29$,1,WomensFiction
Something Borrowed (Darcy & Rachel #1),48.96$,5,WomensFiction
I've Got Your Number,19.69$,3,WomensFiction
The Edge of Reason (Bridget Jones #2),19.18$,3,WomensFiction
Bridget Jones's Diary (Bridget Jones #1),29.82$,1,WomensFiction
Private Paris (Private #10),47.61$,5,Fiction
"We Love You, Charlie Freeman",50.27$,5,Fiction
Thirst,17.27$,3,Fiction
The Murder That Never Was (Forensic Instincts #5),54.11$,3,Fiction
